Date,Latitude,Longitude,Temperature_C
04-04-2025,22.5,84.5,34.227226
04-04-2025,23.5,80.5,36.417873
04-04-2025,23.5,81.5,35.91323
04-04-2025,23.5,82.5,35.268044
04-04-2025,23.5,83.5,34.898987
04-04-2025,23.5,84.5,35.130787
04-04-2025,24.5,80.5,37.769676
04-04-2025,24.5,81.5,37.303143
04-04-2025,24.5,82.5,36.929253
04-04-2025,24.5,83.5,36.73743
04-04-2025,24.5,84.5,36.02856
05-04-2025,17.5,80.5,36.648743
05-04-2025,17.5,81.5,35.970562
05-04-2025,17.5,82.5,35.15159
05-04-2025,17.5,83.5,35.645718
05-04-2025,17.5,84.5,
05-04-2025,18.5,80.5,37.476162
05-04-2025,18.5,81.5,36.49665
05-04-2025,18.5,82.5,36.271053
05-04-2025,18.5,83.5,36.499237
05-04-2025,18.5,84.5,36.79056
05-04-2025,19.5,80.5,38.6275
05-04-2025,19.5,81.5,38.754204
05-04-2025,19.5,82.5,36.99301
05-04-2025,19.5,83.5,37.663498
05-04-2025,19.5,84.5,37.868107
05-04-2025,20.5,80.5,39.574165
05-04-2025,20.5,81.5,38.811024
05-04-2025,20.5,82.5,39.792988
05-04-2025,20.5,83.5,39.8244
05-04-2025,20.5,84.5,38.751797
05-04-2025,21.5,80.5,38.840775
05-04-2025,21.5,81.5,39.054752
05-04-2025,21.5,82.5,39.454647
05-04-2025,21.5,83.5,40.04805
05-04-2025,21.5,84.5,39.37154
05-04-2025,22.5,80.5,39.021175
05-04-2025,22.5,81.5,38.89823
05-04-2025,22.5,82.5,38.59195
05-04-2025,22.5,83.5,38.49823
05-04-2025,22.5,84.5,38.133923
05-04-2025,23.5,80.5,39.11871
05-04-2025,23.5,81.5,38.587452
05-04-2025,23.5,82.5,38.681416
05-04-2025,23.5,83.5,38.458626
05-04-2025,23.5,84.5,38.528053
05-04-2025,24.5,80.5,39.620617
05-04-2025,24.5,81.5,39.350853
05-04-2025,24.5,82.5,39.517338
05-04-2025,24.5,83.5,39.287506
05-04-2025,24.5,84.5,38.84253
06-04-2025,17.5,80.5,37.536858
06-04-2025,17.5,81.5,36.612457
06-04-2025,17.5,82.5,35.511436
06-04-2025,17.5,83.5,35.618042
06-04-2025,17.5,84.5,
06-04-2025,18.5,80.5,38.518654
06-04-2025,18.5,81.5,37.056248
06-04-2025,18.5,82.5,36.677696
06-04-2025,18.5,83.5,36.57223
06-04-2025,18.5,84.5,36.875725
06-04-2025,19.5,80.5,39.998844
06-04-2025,19.5,81.5,39.685745
06-04-2025,19.5,82.5,37.80041
06-04-2025,19.5,83.5,37.996178
06-04-2025,19.5,84.5,38.27827
06-04-2025,20.5,80.5,40.87942
06-04-2025,20.5,81.5,40.10988
06-04-2025,20.5,82.5,40.54642
06-04-2025,20.5,83.5,40.161034
06-04-2025,20.5,84.5,38.96634
06-04-2025,21.5,80.5,40.186684
06-04-2025,21.5,81.5,40.1159
06-04-2025,21.5,82.5,40.372646
06-04-2025,21.5,83.5,40.320198
06-04-2025,21.5,84.5,39.93685
06-04-2025,22.5,80.5,39.52865
06-04-2025,22.5,81.5,39.67295
06-04-2025,22.5,82.5,39.10633
06-04-2025,22.5,83.5,39.248997
06-04-2025,22.5,84.5,39.119453
06-04-2025,23.5,80.5,39.28955
06-04-2025,23.5,81.5,38.81519
06-04-2025,23.5,82.5,39.075127
06-04-2025,23.5,83.5,39.041225
06-04-2025,23.5,84.5,39.287895
06-04-2025,24.5,80.5,39.536716
06-04-2025,24.5,81.5,39.49765
06-04-2025,24.5,82.5,40.016308
06-04-2025,24.5,83.5,39.829445
